"","one","two","three","four","five"
"1","avatar","future","marine","native","paraplegic"
"2","goddess","marriage ceremony","marriage proposal","pirate","singapore"
"3","bomb","espionage","sequel","spy","terrorist"
"4","deception","imprisonment","lawlessness","police officer","terrorist plot"
"5","alien","american civil war","male nipple","mars","princess"
"6","sandman","spider man","symbiote","venom","villain"
"7","17th century","based on fairy tale","disney","flower","tower"
"8","artificial intelligence","based on comic book","captain america","marvel cinematic universe","superhero"
"9","blood","book","love","potion","professor"
"10","based on comic book","batman","sequel to a reboot","superhero","superman"
"11","crystal","epic","lex luthor","lois lane","return to earth"
"12","action hero","attempted rape","bond girl","official james bond series","revenge"
"13","box office hit","giant squid","heart","liar's dice","monster"
"14","horse","outlaw","texas","texas ranger","train"
"15","based on comic book","british actor playing american character","final battle","origin of hero","reboot"
"16","brother brother relationship","brother sister relationship","good versus evil","king","narnia"
"17","alien invasion","assassin","battle","iron man","soldier"
"18","blackbeard","captain","pirate","revenge","soldier"
"19","alien","criminal","m.i.b.","maximum security prison","prison"
"20","army","elf","hobbit","middle earth","orc"
"21","lizard","outcast","spider","spider man","teenager"
"22","1190s","archer","england","king of england","robin hood"
"23","dwarf","elf","lake town","mountain","sword and sorcery"
"24","children","epic","friend","girl","quest"
"25","animal name in title","ape abducts a woman","gorilla","island","king kong"
"26","artist","love","ship","titanic","wet"
"27","based on comic book","knife","marvel cinematic universe","returning character killed off","superhero"
"28","box office flop","hawaii","naval","oahu hawaii","ship"
"29","dinosaur","disaster film","experiment gone wrong","jurassic park","velociraptor"
"30","brawl","childhood home","computer cracker","intelligence agency","terrorist cell"
"31","death","doctor","scientist","super villain","tentacle"
"32","armor","explosion","human bomb","missile attack","terrorist"
"33","alice in wonderland","mistaking reality for dream","queen","shrinking","shrinking potion"
"34","battle","mutant","outrage","walking through a wall","x men"
"35","cheating","fraternity","monster","singing in a car","university"
"36","autobot","decepticon","machine","sun","symbol"
"37","blockbuster","bumblebee the character","semi truck and trailer","texas","truck"
"38","circus","magic","magician","oz","witch"
"39","costumed hero","death of girlfriend","masked vigilante","returning character killed off","teenager"
"40","arcade","bridge","disappearance","escape","warrior"
"41","best friend","car race","conspiracy","gadget car","spy"
"42","autopsy","lantern","planet","ring","test pilot"
"43","college","day care","escape","teddy bear","toy"
"44","death row","future","machine","rescue","skynet"
"45","car falling off a cliff","hospital","revenge","star died before release","terrorist"
"46","chaos","disease","infection","pandemic","zombie"
"47","dystopia","super strength","supernatural power","time paradox","time travel"
"48","admiral","captain","manhunt","mission","space"
"49","bean","giant","king","no opening credits","princess"
"50","ingratitude","mansion","party","title appears in writing","tragedy"
"51","alamut","dagger","king","persia","princess"
"52","giant monster","kaiju","pilot","portal","robot"
"53","autobot","decepticon","job interview","moon","spacecraft"
"54","cult figure","femme fatale","indiana jones","unsubtitled foreign language","year 1957"
"55","apatosaurus","asteroid","dinosaur","fear","river"
"56","archery","coming of age","female warrior","princess","rebellious daughter"
"57","hatred","sequel","space opera","star trek","third part"
"58","earth","obesity","plant","robot","soil"
"59","ambassador","assassination","chinese","french","triad"
"60","ark","catastrophe","geologist","president","writer"
"61","charles dickens","christmas","christmas eve","ghost","scrooge"
"62","box office flop","critically bashed","planet earth","space opera","woman in bra and panties"
"63","africa","capture","jungle","male objectification","tarzan"
"64","hide and seek","lion","magic","professor","snow"
"65","mutant","superhero","superhero team","x men","year 1983"
"66","based on comic book","dc comics","psychopath","star died before release","urban setting"
"67","balloon","house","promise","retirement","skeleton"
"68","alien","alien invasion","alien space craft","giant","giantess"
"69","afghanistan","billionaire","inventor","playboy","u.s. air force"
"70","automaton","mechanical","railway station","steampunk","train"
"71","buddy movie","general","inventor","steampunk","utah"
"72","army","china","emperor","mummy","shangri la"
"73","based on comic book","critically bashed","father daughter relationship","reference to superman","super villain"
"74","ark","change","congressman","depiction of god","flood"
"75","alien","combat","dying repeatedly","end of the world","time loop"
"76","future","sail","sea","smoker","water"
"77","cobra","gi joe","snake","train","warhead"
"78","anger","joy","memory","running away","sadness"
"79","fire","jungle","remake","tiger","wolf"
"80","hammer","military","monaco","revenge","tony stark"
"81","evil queen","fairy tale","magic","queen","snow white"
"82","curse","dark fantasy","fairy","king","kingdom"
"83","ape","dam","leader","post apocalypse","sequel"
"84","1770s","british india","great barrier reef","india","ring"
"85","box office flop","ronin","samurai","shogun","tournament"
"86","conspiracy","heroism","megalomaniac","super soldier","world domination"
"87","alternate world","fairy tale parody","female warrior","ogre","true love"
"88","boy genius","futuristic city","inventor","teenage girl","time travel"
"89","high tech","martial arts","masked man","robot","superhero"
"90","arcade","candy","glitch","king","medal"
"91","boy","christmas","christmas eve","north pole","train"
"92","alien","battle","defense","independence day","mothership"
"93","dragon","island","training","viking","village"
"94","drifter","exploding truck","future","machine","skynet"
"95","bounty hunter","outer space","raccoon","talking animal","tree"
"96","black hole","father daughter relationship","saving the world","space travel","wormhole"
"97","ambiguous ending","corporate espionage","dream","subconscious","thief"
"98","blood","godzilla","monster","sequel","blood"
"99","dragon","dwarf","hobbit","orc","wizard"
"100","eighteen wheeler","illegal street racing","truck","trucker","undercover cop"
"101","deformed baby","diary","lingerie slip","older man younger woman relationship","premature aging"
"102","cia","cia agent","mutant","nuclear war","professor"
"103","death of sister","dystopia","execution","rebellion","revolution"
"104","chosen one","enchanted object","love","spell","training"
"105","cruise","escape","ocean","passenger","water"
"106","clock","dark fantasy","mad hatter","queen","sequel"
"107","disney spoof","fairy tale","prince","princess","tough guy"
"108","based on video game","fictional language","fictional war","orc","sword and sorcery"
"109","alternate timeline","cyborg","future","robot","time machine"
"110","dragon","king","mouse","quest","warrior"
"111","air raid","black smoke","japanese military","japanese navy","sunday"
"112","alien contact","autobot","decepticon","robot vs. robot","teenage hero"
"113","ancient greece","conquest","greek","greek myth","king"
"114","battle","magic","school","teacher","wizard"
"115","fire","goblet","magic","tournament","wizard"
"116","bully comeuppance","destruction","prison","superhero","tough girl"
"117","new york city","pandemic","post apocalypse","survivalist","virus"
"118","chocolate","diminution","miniaturization","physical flexability","ticket"
"119","chef","food","french","rat","restaurant"
"120","armored car","gangster","gotham","mixed martial arts","social decay"
"121","africa","madagascar","new york city","sequel","zoo"
"122","hdtv","motorcycle","museum","security guard","tyrannosaurus rex"
"123","army","civil war","claw fight","commando","wolverine the character"
"124","battle","epic","fight","future","machine"
"125","magic","sister love","sister sister relationship","snow","snowman"
"126","car motorcycle chase","one against many","oracle","prophecy","stylized violence"
"127","arrest","portal","thor","warrior","weapon"
"128","australia","desert","escape","on the run","post apocalypse"
"129","conclave","illuminati","murder","reference to bernini","reference to raphael"
"130","battle","marvel cinematic universe","scientist","thor","throne"
"131","cat","dog","hamster","new york city","superpower"
"132","fbi director","guinea pig","household appliance","secret agent","talking mouse"
"133","ares","hades","titan","underworld","zeus"
"134","camera shot of feet","cartoon on tv","female stockinged feet","female stockinged soles","foot closeup"
"135","capture","computer hacker","mission","rogue agent","spy"
"136","asylum","death","full moon","transformation","werewolf"
